Nombre;Documento;Telefono;Fecha Registro;Membresia:Pago;Membresia:Fecha Inicio;Membresia:Fecha Fin
Emanuel;21254;333333;2025-07-10;True;2025-07-11;2025-08-10
Sofia;10234567;3201234567;2025-07-10;False;2025-07-11;2025-08-10
Carlos;20345678;3112345678;2025-07-10;False;2025-07-11;2025-08-10
Maria;30456789;3223456789;2025-07-10;True;2025-07-11;2025-08-10
Andres;40567890;3334567890;2025-07-10;True;2025-07-11;2025-08-10
Valentina;50678901;3145678901;2025-07-10;False;2025-07-11;2025-08-10
Sebastian;60789012;3256789012;2025-07-10;True;2025-07-11;2025-08-10
Camila;70890123;3167890123;2025-07-10;False;2025-07-11;2025-08-10
Daniel;80901234;3278901234;2025-07-10;True;2025-07-11;2025-08-10
Isabella;91012345;3189012345;2025-07-10;True;2025-07-11;2025-08-10
Miguel;12123456;3290123456;2025-07-10;False;2025-07-11;2025-08-10
Alejandra;23234567;3101234567;2025-07-10;False;2025-07-11;2025-08-10
Felipe;34345678;3212345678;2025-07-10;False;2025-07-11;2025-08-10
Natalia;45456789;3123456789;2025-07-10;True;2025-07-11;2025-08-10
Joaquin;56567890;3234567890;2025-07-10;False;2025-07-11;2025-08-10
Gabriela;67678901;3145678902;2025-07-10;True;2025-07-11;2025-08-10
Nicolas;78789012;3256789013;2025-07-10;True;2025-07-11;2025-08-10
Paola;89890123;3167890124;2025-07-10;True;2025-07-11;2025-08-10
Ricardo;90901234;3278901235;2025-07-10;True;2025-07-11;2025-08-10
Fernanda;11012345;3189012346;2025-07-10;True;2025-07-11;2025-08-10
