Nombre;Documento;Telefono;Fecha Registro;Membresia:Pago;Membresia:Fecha Inicio;Membresia:Fecha Fin
Emanuel;21254;333333;2025-05-10;True;2025-05-11;2025-06-10
Sofia;10234567;3201234567;2025-05-10;False;2025-06-21;2025-07-20
Carlos;20345678;3112345678;2025-05-10;False;2025-06-21;2025-07-20
Maria;30456789;3223456789;2025-05-10;True;2025-05-11;2025-06-10
Andres;40567890;3334567890;2025-05-10;True;2025-05-11;2025-11-10
Valentina;50678901;3145678901;2025-05-10;False;2025-05-11;2025-06-10
Sebastian;60789012;3256789012;2025-05-10;True;2025-06-11;2025-07-10
Camila;70890123;3167890123;2025-05-10;False;2025-06-11;2025-07-10
Daniel;80901234;3278901234;2025-05-10;True;2025-06-11;2025-07-10
Isabella;91012345;3189012345;2025-05-10;True;2025-06-11;2025-07-10
Miguel;12123456;3290123456;2025-05-10;False;2025-06-11;2025-07-10
Alejandra;23234567;3101234567;2025-05-10;False;2025-06-11;2025-07-10
Felipe;34345678;3212345678;2025-05-10;False;2025-06-11;2025-07-10
Natalia;45456789;3123456789;2025-05-10;True;2025-06-11;2025-07-10
Joaquin;56567890;3234567890;2025-05-10;False;2025-07-11;2025-08-10
Gabriela;67678901;3145678902;2025-05-10;True;2025-07-11;2025-08-10
Nicolas;78789012;3256789013;2025-05-10;True;2025-07-11;2025-08-10
Paola;89890123;3167890124;2025-05-10;True;2025-07-12;2025-08-11
Ricardo;90901234;3278901235;2025-05-10;True;2025-07-13;2025-08-12
Fernanda;11012345;None;2025-05-10;True;2025-07-14;2025-08-13
Alberto;11012564;None;2025-05-10;None;None;None
Felicia;54552564;None;2025-05-10
Yurani;54511164;None;2025-05-10;;;
Yolanda;546811164;None;2025-05-10; ; ; 
