Nombre;Documento;Telefono;Fecha Registro;Membresia:Pago;Membresia:Fecha Inicio;Membresia:Fecha Fin
emanuel;21254;333333;2025-05-10;True;2025-05-11;2025-06-10
sofia;10234567;3201234567;2025-05-10;False;2025-06-21;2025-07-21
carlos;20345678;3112345678;2025-05-10;False;2025-06-21;2025-07-21
maria;30456789;3223456789;2025-05-10;True;2025-05-11;2025-06-10
andres;40567890;3334567890;2025-05-10;True;2025-05-11;2025-06-10
valentina;50678901;3145678901;2025-05-10;False;2025-05-11;2025-06-10
sebastian;60789012;3256789012;2025-05-10;True;2025-06-11;2025-07-11
camila;70890123;3167890123;2025-05-10;False;2025-06-11;2025-07-11
daniel;80901234;3278901234;2025-05-10;True;2025-06-11;2025-07-11
isabella;91012345;3189012345;2025-05-10;True;2025-06-11;2025-07-11
miguel;12123456;3290123456;2025-05-10;False;2025-06-11;2025-07-11
alejandra;23234567;3101234567;2025-05-10;False;2025-06-11;2025-07-11
felipe;34345678;3212345678;2025-05-10;False;2025-06-11;2025-07-11
natalia;45456789;3123456789;2025-05-10;True;2025-06-11;2025-07-11
joaquin;56567890;3234567890;2025-05-10;False;2025-07-11;2025-08-10
gabriela;67678901;3145678902;2025-05-10;True;2025-07-11;2025-08-10
nicolas;78789012;3256789013;2025-05-10;True;2025-07-11;2025-08-10
paola;89890123;3167890124;2025-05-10;True;2025-07-12;2025-08-11
ricardo;90901234;3278901235;2025-05-10;None;None;None
fernanda;11012345;None;2025-05-10;True;2025-07-14;2025-08-13
alberto;11012564;None;2025-05-10;None;None;None
yurani;54511164;None;2025-05-10;None;None;None
yolanda;546811164;None;2025-05-10;None;None;None
felipo;1234;;2025-07-15;True;2025-07-15;2025-08-14
